               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10954,             0.02729,                   0,             0.44935,              0.2907,             0.36058,             0.11043,            0.062523,            0.013788,                   0,              0.0883,              0.0013,              0.0013
                   1,            0.081904,            0.024169,                   0,             0.65196,              0.5814,             0.69995,             0.34653,            0.043327,            0.011377,                   0,            0.075698,           0.0026982,           0.0026982
                   2,            0.070048,            0.019991,                   0,             0.53453,             0.75581,             0.58928,             0.29168,            0.049207,            0.007374,                   0,            0.063095,           0.0040946,           0.0040946
                   3,            0.062977,            0.017978,                   0,             0.80264,             0.77907,             0.86157,             0.43585,            0.041251,           0.0064447,                   0,            0.050489,           0.0054891,           0.0054891
                   4,            0.057934,            0.017205,                   0,             0.68727,             0.82558,             0.74258,             0.38574,            0.034871,           0.0056908,                   0,            0.037882,           0.0068818,           0.0068818
                   5,            0.052804,            0.015925,                   0,             0.85972,             0.89535,             0.89219,             0.50244,            0.034758,           0.0054326,                   0,            0.025273,           0.0082726,           0.0082726
                   6,            0.050323,            0.015528,                   0,             0.42352,              0.5814,              0.3923,             0.18076,            0.049192,           0.0078773,                   0,            0.012662,           0.0096616,           0.0096616
                   7,            0.047472,            0.015492,                   0,             0.47992,             0.54725,             0.48523,              0.2154,            0.046477,           0.0091915,                   0,           0.0099538,           0.0099538,           0.0099538
                   8,            0.045782,            0.015353,                   0,             0.48331,             0.53488,             0.49669,             0.25941,            0.042617,            0.011961,                   0,           0.0099538,           0.0099538,           0.0099538
                   9,            0.042659,            0.014343,                   0,              0.5782,             0.66279,             0.67686,             0.36417,            0.040788,           0.0082629,                   0,           0.0099472,           0.0099472,           0.0099472
                  10,            0.041857,            0.013542,                   0,             0.77078,              0.7907,             0.81516,             0.45809,            0.037377,           0.0064087,                   0,           0.0099406,           0.0099406,           0.0099406
                  11,            0.040237,            0.013587,                   0,             0.58724,             0.72093,             0.62299,             0.27195,            0.043611,           0.0094206,                   0,            0.009934,            0.009934,            0.009934
                  12,            0.040339,            0.013367,                   0,             0.88643,             0.74419,             0.85666,             0.49647,            0.028355,           0.0074565,                   0,           0.0099274,           0.0099274,           0.0099274
                  13,            0.039394,            0.013458,                   0,             0.69403,             0.81766,             0.78523,             0.40612,            0.032725,           0.0073276,                   0,           0.0099208,           0.0099208,           0.0099208
                  14,            0.037214,            0.013019,                   0,             0.71424,             0.72661,             0.74089,             0.40066,              0.0347,            0.010937,                   0,           0.0099142,           0.0099142,           0.0099142
                  15,            0.037539,            0.013137,                   0,             0.46607,             0.65116,             0.49307,             0.24389,            0.045017,           0.0088468,                   0,           0.0099076,           0.0099076,           0.0099076
                  16,             0.03627,            0.013051,                   0,             0.72365,              0.7093,             0.71882,             0.41235,            0.034068,           0.0081811,                   0,            0.009901,            0.009901,            0.009901
                  17,            0.038073,            0.012644,                   0,             0.90912,              0.8142,             0.90465,             0.55683,            0.028797,           0.0064862,                   0,           0.0098944,           0.0098944,           0.0098944
                  18,            0.036287,            0.012626,                   0,             0.90958,             0.82558,             0.90489,             0.52678,            0.025988,           0.0059161,                   0,           0.0098878,           0.0098878,           0.0098878
                  19,            0.035641,            0.012273,                   0,             0.78911,             0.74419,             0.83076,              0.5161,            0.029689,           0.0058455,                   0,           0.0098812,           0.0098812,           0.0098812
                  20,            0.034049,            0.012163,                   0,             0.81461,              0.8686,             0.89524,             0.55573,            0.026616,           0.0058069,                   0,           0.0098746,           0.0098746,           0.0098746
                  21,             0.03433,            0.011706,                   0,             0.76615,             0.77907,              0.8106,             0.50573,              0.0327,           0.0062099,                   0,            0.009868,            0.009868,            0.009868
                  22,            0.033568,            0.012038,                   0,             0.87589,             0.73862,             0.82307,             0.49473,            0.032625,           0.0065274,                   0,           0.0098614,           0.0098614,           0.0098614
                  23,            0.033556,            0.011613,                   0,               0.721,             0.73256,             0.75861,             0.42582,            0.031957,           0.0074124,                   0,           0.0098548,           0.0098548,           0.0098548
                  24,            0.033818,             0.01128,                   0,             0.61231,             0.47749,             0.45068,             0.20384,             0.04911,           0.0094552,                   0,           0.0098482,           0.0098482,           0.0098482
                  25,            0.033016,            0.011374,                   0,             0.73245,             0.84884,             0.82561,             0.49759,            0.030605,           0.0062261,                   0,           0.0098416,           0.0098416,           0.0098416
                  26,            0.032399,            0.011552,                   0,             0.75484,             0.69767,             0.71454,             0.38389,            0.028979,           0.0084722,                   0,            0.009835,            0.009835,            0.009835
                  27,            0.031455,            0.011167,                   0,             0.77603,             0.81395,             0.80284,             0.45463,            0.028019,            0.006531,                   0,           0.0098284,           0.0098284,           0.0098284
                  28,            0.031578,            0.011124,                   0,             0.93648,             0.85718,             0.93125,             0.59509,            0.028685,           0.0059631,                   0,           0.0098218,           0.0098218,           0.0098218
                  29,            0.031544,            0.011213,                   0,              0.8212,             0.80107,             0.80551,             0.47323,            0.035385,           0.0065525,                   0,           0.0098152,           0.0098152,           0.0098152
                  30,            0.032754,            0.011496,                   0,             0.86516,              0.8207,             0.89071,             0.58177,            0.028297,           0.0060868,                   0,           0.0098086,           0.0098086,           0.0098086
                  31,            0.031526,            0.011206,                   0,             0.74148,              0.6337,             0.65527,              0.3671,            0.034938,           0.0085208,                   0,            0.009802,            0.009802,            0.009802
                  32,            0.029913,            0.010761,                   0,             0.85742,             0.84884,             0.88792,             0.59102,            0.023475,           0.0056174,                   0,           0.0097954,           0.0097954,           0.0097954
                  33,            0.029919,            0.010615,                   0,             0.78263,             0.83731,              0.8364,             0.50015,            0.025765,           0.0070057,                   0,           0.0097888,           0.0097888,           0.0097888
                  34,             0.03087,            0.010958,                   0,             0.81295,             0.87209,             0.89001,             0.57118,            0.027498,           0.0057373,                   0,           0.0097822,           0.0097822,           0.0097822
                  35,            0.029279,            0.010256,                   0,             0.93038,             0.81395,             0.92359,             0.65677,            0.021167,           0.0054164,                   0,           0.0097756,           0.0097756,           0.0097756
                  36,            0.029364,            0.010428,                   0,             0.87835,             0.83962,             0.90443,             0.58088,            0.026244,           0.0059228,                   0,            0.009769,            0.009769,            0.009769
                  37,            0.029239,            0.010413,                   0,             0.91843,              0.7907,             0.89571,              0.5989,            0.024846,           0.0059834,                   0,           0.0097624,           0.0097624,           0.0097624
                  38,            0.028408,            0.010172,                   0,             0.88118,             0.77907,             0.87284,             0.56525,             0.02425,           0.0062277,                   0,           0.0097558,           0.0097558,           0.0097558
                  39,            0.027673,            0.010536,                   0,             0.89118,             0.85707,             0.92183,             0.61197,            0.026561,           0.0058196,                   0,           0.0097492,           0.0097492,           0.0097492
                  40,            0.028796,            0.010271,                   0,             0.90703,             0.79417,             0.87813,             0.58836,            0.029618,           0.0059831,                   0,           0.0097426,           0.0097426,           0.0097426
                  41,            0.028401,           0.0098233,                   0,             0.90788,              0.9186,             0.94348,             0.60011,            0.030304,            0.006211,                   0,            0.009736,            0.009736,            0.009736
                  42,            0.028763,            0.010115,                   0,             0.79746,             0.86987,             0.85692,             0.58409,            0.031139,           0.0060682,                   0,           0.0097294,           0.0097294,           0.0097294
                  43,            0.028513,           0.0099411,                   0,             0.75027,              0.6987,             0.72472,             0.45075,            0.030594,           0.0071635,                   0,           0.0097228,           0.0097228,           0.0097228
                  44,            0.027716,            0.010148,                   0,             0.85447,             0.88759,             0.90789,             0.65378,             0.02324,           0.0055509,                   0,           0.0097162,           0.0097162,           0.0097162
                  45,            0.027875,            0.010061,                   0,             0.86867,             0.73256,             0.86382,             0.55499,            0.029969,             0.00665,                   0,           0.0097096,           0.0097096,           0.0097096
                  46,            0.027321,            0.010154,                   0,             0.89043,             0.84884,             0.92354,              0.6227,             0.02335,           0.0061088,                   0,            0.009703,            0.009703,            0.009703
                  47,            0.027834,           0.0096376,                   0,             0.88075,              0.8588,             0.91026,             0.61017,            0.026441,           0.0059702,                   0,           0.0096964,           0.0096964,           0.0096964
                  48,            0.027793,           0.0099115,                   0,              0.8137,             0.60949,             0.67938,             0.41827,            0.038403,           0.0086308,                   0,           0.0096898,           0.0096898,           0.0096898
                  49,            0.027855,           0.0096681,                   0,             0.90926,             0.83721,             0.90548,             0.59686,            0.027717,           0.0059903,                   0,           0.0096832,           0.0096832,           0.0096832
                  50,            0.027767,            0.009808,                   0,             0.87479,             0.84884,             0.92703,             0.57073,            0.022998,           0.0062129,                   0,           0.0096766,           0.0096766,           0.0096766
                  51,            0.027258,           0.0099396,                   0,             0.93082,             0.83721,             0.91835,             0.62384,            0.021878,           0.0055048,                   0,             0.00967,             0.00967,             0.00967
                  52,            0.026212,           0.0096678,                   0,             0.92572,             0.77907,             0.90266,             0.55228,            0.023055,           0.0062673,                   0,           0.0096634,           0.0096634,           0.0096634
                  53,            0.026103,           0.0094696,                   0,             0.91101,              0.7907,             0.90563,             0.59782,            0.026307,           0.0056446,                   0,           0.0096568,           0.0096568,           0.0096568
                  54,            0.026806,           0.0096336,                   0,             0.89482,             0.89535,             0.93016,             0.64333,            0.029954,            0.005048,                   0,           0.0096502,           0.0096502,           0.0096502
                  55,            0.025932,           0.0094027,                   0,              0.9142,             0.86733,             0.95534,             0.64623,            0.023218,           0.0051184,                   0,           0.0096436,           0.0096436,           0.0096436
                  56,             0.02602,           0.0096845,                   0,              0.8935,             0.87209,              0.9157,             0.64848,            0.021925,           0.0051899,                   0,            0.009637,            0.009637,            0.009637
                  57,            0.025887,           0.0093027,                   0,             0.84215,             0.86856,             0.89736,             0.61823,            0.022337,           0.0053279,                   0,           0.0096304,           0.0096304,           0.0096304
                  58,            0.025414,           0.0096436,                   0,             0.95761,             0.78813,             0.91487,             0.56898,            0.025298,            0.006511,                   0,           0.0096238,           0.0096238,           0.0096238
                  59,            0.025152,           0.0095797,                   0,             0.88287,             0.86047,             0.93472,             0.66077,              0.0249,           0.0054529,                   0,           0.0096172,           0.0096172,           0.0096172
                  60,            0.026111,           0.0096285,                   0,             0.93371,             0.80233,             0.92197,             0.60308,            0.026774,           0.0060158,                   0,           0.0096106,           0.0096106,           0.0096106
                  61,            0.026351,           0.0093142,                   0,             0.91223,              0.7907,             0.89887,              0.6406,            0.022454,           0.0058386,                   0,            0.009604,            0.009604,            0.009604
                  62,            0.025648,           0.0090411,                   0,             0.88183,             0.87209,             0.89297,              0.6225,            0.022943,           0.0058622,                   0,           0.0095974,           0.0095974,           0.0095974
                  63,            0.025561,           0.0096672,                   0,             0.87843,             0.89535,              0.9328,             0.65963,            0.027734,            0.005002,                   0,           0.0095908,           0.0095908,           0.0095908
                  64,             0.02512,            0.009287,                   0,             0.86507,             0.87209,              0.8904,             0.58732,            0.023119,           0.0062823,                   0,           0.0095842,           0.0095842,           0.0095842
                  65,             0.02494,           0.0095623,                   0,             0.86814,             0.90698,             0.93964,             0.60874,            0.022851,           0.0064173,                   0,           0.0095776,           0.0095776,           0.0095776
                  66,            0.024885,           0.0092653,                   0,             0.82438,             0.83721,             0.87949,             0.58649,             0.02354,           0.0059838,                   0,            0.009571,            0.009571,            0.009571
                  67,            0.025608,           0.0094643,                   0,             0.89811,             0.81996,             0.88964,             0.55303,            0.028693,           0.0068903,                   0,           0.0095644,           0.0095644,           0.0095644
                  68,            0.024427,           0.0089537,                   0,             0.87505,             0.88372,             0.93629,             0.63108,            0.023946,           0.0059998,                   0,           0.0095578,           0.0095578,           0.0095578
                  69,            0.024111,           0.0091121,                   0,             0.89443,             0.89535,              0.9331,             0.64686,             0.02208,           0.0058212,                   0,           0.0095512,           0.0095512,           0.0095512
                  70,            0.024207,           0.0089702,                   0,             0.91188,             0.84236,              0.9312,             0.64658,            0.022189,           0.0057116,                   0,           0.0095446,           0.0095446,           0.0095446
                  71,             0.02472,           0.0092655,                   0,             0.90166,             0.85299,              0.9256,             0.61487,            0.021964,           0.0064981,                   0,            0.009538,            0.009538,            0.009538
                  72,            0.024424,           0.0087911,                   0,              0.9052,             0.81395,              0.9243,             0.61566,            0.021811,           0.0067661,                   0,           0.0095314,           0.0095314,           0.0095314
                  73,            0.024123,           0.0089789,                   0,             0.85954,              0.8539,             0.90545,             0.58101,            0.027088,           0.0067191,                   0,           0.0095248,           0.0095248,           0.0095248
                  74,            0.023944,           0.0087205,                   0,             0.88727,             0.95349,             0.96903,             0.67793,            0.023615,           0.0053639,                   0,           0.0095182,           0.0095182,           0.0095182
                  75,            0.023599,           0.0087325,                   0,             0.99114,             0.88372,             0.96585,             0.70898,              0.0187,           0.0049965,                   0,           0.0095116,           0.0095116,           0.0095116
                  76,            0.023886,            0.008669,                   0,             0.88713,             0.90698,             0.95397,             0.64752,            0.022509,           0.0052888,                   0,            0.009505,            0.009505,            0.009505
                  77,            0.023776,           0.0089591,                   0,             0.93648,             0.89535,             0.95279,             0.65936,            0.026902,           0.0055594,                   0,           0.0094984,           0.0094984,           0.0094984
                  78,            0.023905,           0.0085857,                   0,             0.85971,             0.87209,              0.8967,             0.62972,            0.025375,           0.0063508,                   0,           0.0094918,           0.0094918,           0.0094918
                  79,            0.023803,           0.0087775,                   0,             0.95329,             0.94936,              0.9671,             0.69397,            0.022715,           0.0050704,                   0,           0.0094852,           0.0094852,           0.0094852
                  80,            0.023249,           0.0087048,                   0,             0.97553,             0.92704,             0.96509,             0.67682,            0.022531,           0.0052299,                   0,           0.0094786,           0.0094786,           0.0094786
                  81,            0.023453,           0.0088803,                   0,             0.93685,             0.86047,             0.93928,             0.67427,            0.019678,           0.0053122,                   0,            0.009472,            0.009472,            0.009472
                  82,            0.023152,           0.0087404,                   0,             0.95775,             0.87209,              0.9269,             0.67688,            0.020217,           0.0056148,                   0,           0.0094654,           0.0094654,           0.0094654
                  83,            0.023259,           0.0088792,                   0,             0.90086,             0.84884,             0.91145,             0.61372,            0.030349,           0.0059297,                   0,           0.0094588,           0.0094588,           0.0094588
                  84,            0.024671,           0.0087947,                   0,             0.90085,             0.88372,             0.94172,             0.64672,            0.024843,           0.0056431,                   0,           0.0094522,           0.0094522,           0.0094522
                  85,            0.023072,           0.0087697,                   0,             0.93405,             0.93023,             0.96689,              0.6699,            0.020762,           0.0055583,                   0,           0.0094456,           0.0094456,           0.0094456
                  86,             0.02331,           0.0088358,                   0,             0.92632,             0.87713,             0.93927,             0.63461,            0.023919,           0.0058639,                   0,            0.009439,            0.009439,            0.009439
                  87,            0.023465,           0.0088799,                   0,             0.82556,             0.82548,             0.85118,              0.5139,            0.028815,           0.0070477,                   0,           0.0094324,           0.0094324,           0.0094324
                  88,            0.023339,           0.0083839,                   0,             0.93027,             0.90698,              0.9581,             0.62329,            0.021381,           0.0056992,                   0,           0.0094258,           0.0094258,           0.0094258
                  89,            0.022959,           0.0087967,                   0,             0.90774,             0.90698,             0.96031,             0.70012,            0.018954,           0.0055671,                   0,           0.0094192,           0.0094192,           0.0094192
                  90,            0.022265,           0.0088328,                   0,             0.89083,             0.86047,             0.92695,              0.6944,            0.017009,           0.0051067,                   0,           0.0094126,           0.0094126,           0.0094126
                  91,            0.022734,           0.0086741,                   0,             0.87426,             0.89535,             0.92216,             0.57792,            0.024934,           0.0060511,                   0,            0.009406,            0.009406,            0.009406
                  92,             0.02308,           0.0089814,                   0,             0.90223,             0.90698,             0.93227,              0.6378,            0.023706,           0.0062256,                   0,           0.0093994,           0.0093994,           0.0093994
                  93,            0.022584,             0.00841,                   0,             0.89123,             0.85751,              0.9279,             0.62369,            0.024511,           0.0066059,                   0,           0.0093928,           0.0093928,           0.0093928
                  94,            0.022162,           0.0088555,                   0,             0.89572,              0.8989,             0.94279,             0.65976,            0.024748,           0.0057855,                   0,           0.0093862,           0.0093862,           0.0093862
                  95,            0.022183,           0.0085751,                   0,             0.93292,              0.9186,             0.95557,             0.65342,            0.022607,              0.0058,                   0,           0.0093796,           0.0093796,           0.0093796
                  96,            0.022645,           0.0085397,                   0,             0.88694,             0.90698,             0.93893,              0.6525,            0.022873,            0.005934,                   0,            0.009373,            0.009373,            0.009373
                  97,            0.022689,           0.0082177,                   0,             0.88377,              0.9186,             0.94527,             0.64455,            0.026165,            0.005579,                   0,           0.0093664,           0.0093664,           0.0093664
                  98,            0.022861,           0.0081177,                   0,             0.89649,             0.87209,             0.92574,             0.62437,            0.023218,           0.0058241,                   0,           0.0093598,           0.0093598,           0.0093598
                  99,            0.022026,           0.0083417,                   0,             0.89121,             0.85737,             0.93198,             0.65133,            0.021879,           0.0055754,                   0,           0.0093532,           0.0093532,           0.0093532
                 100,            0.023479,            0.008492,                   0,             0.92585,             0.87116,             0.94514,             0.70661,            0.022599,           0.0049965,                   0,           0.0093466,           0.0093466,           0.0093466
                 101,            0.022103,           0.0085664,                   0,              0.9691,             0.88372,             0.94803,             0.66511,            0.024303,           0.0056174,                   0,             0.00934,             0.00934,             0.00934
                 102,             0.02208,           0.0082858,                   0,              0.9522,             0.92658,             0.95853,             0.69666,            0.020231,           0.0051174,                   0,           0.0093334,           0.0093334,           0.0093334
                 103,            0.022374,            0.008247,                   0,             0.92027,             0.87209,             0.92102,             0.67142,            0.019307,           0.0056062,                   0,           0.0093268,           0.0093268,           0.0093268
                 104,             0.02251,           0.0081186,                   0,             0.97293,             0.83589,             0.93866,             0.69057,            0.021509,           0.0058141,                   0,           0.0093202,           0.0093202,           0.0093202
                 105,            0.022999,           0.0085133,                   0,             0.92619,             0.87547,             0.93306,             0.67107,            0.023913,           0.0058076,                   0,           0.0093136,           0.0093136,           0.0093136
                 106,            0.022336,           0.0080463,                   0,             0.93296,             0.80909,             0.90655,             0.61121,             0.02298,           0.0065849,                   0,            0.009307,            0.009307,            0.009307
                 107,            0.021613,           0.0085141,                   0,             0.93661,             0.88372,             0.96169,             0.69934,            0.020408,           0.0050001,                   0,           0.0093004,           0.0093004,           0.0093004
                 108,            0.022181,           0.0081145,                   0,             0.96195,             0.88372,             0.93709,             0.66224,            0.023353,           0.0059247,                   0,           0.0092938,           0.0092938,           0.0092938
                 109,            0.021432,            0.008199,                   0,             0.91615,             0.89535,             0.94119,             0.67522,            0.020767,           0.0056133,                   0,           0.0092872,           0.0092872,           0.0092872
                 110,            0.020777,           0.0082868,                   0,             0.88628,             0.90698,             0.92443,             0.66725,            0.022527,           0.0057111,                   0,           0.0092806,           0.0092806,           0.0092806
                 111,            0.021971,           0.0081912,                   0,             0.89677,             0.90912,             0.95356,             0.71024,            0.020996,           0.0053937,                   0,            0.009274,            0.009274,            0.009274
                 112,             0.02125,           0.0076814,                   0,             0.88762,             0.86047,             0.93989,             0.70526,            0.018939,           0.0055702,                   0,           0.0092674,           0.0092674,           0.0092674
                 113,            0.021508,           0.0083005,                   0,             0.92419,             0.86047,             0.93893,             0.63909,            0.020283,           0.0064425,                   0,           0.0092608,           0.0092608,           0.0092608
                 114,            0.020921,           0.0080657,                   0,             0.90456,             0.88168,             0.94888,             0.67323,            0.020674,           0.0061426,                   0,           0.0092542,           0.0092542,           0.0092542
                 115,            0.021576,           0.0085497,                   0,             0.90396,             0.87558,             0.94424,             0.66198,            0.021958,           0.0057189,                   0,           0.0092476,           0.0092476,           0.0092476
                 116,            0.022373,           0.0082219,                   0,             0.93284,             0.90698,              0.9568,             0.69946,            0.021739,           0.0051651,                   0,            0.009241,            0.009241,            0.009241
                 117,            0.021136,           0.0081926,                   0,             0.92389,             0.89535,             0.94294,             0.70812,            0.026719,            0.005465,                   0,           0.0092344,           0.0092344,           0.0092344
                 118,             0.02138,           0.0082919,                   0,             0.94788,             0.87209,              0.9486,             0.70207,            0.022395,           0.0053484,                   0,           0.0092278,           0.0092278,           0.0092278
                 119,            0.021326,           0.0080871,                   0,             0.87828,             0.93023,             0.94361,              0.6232,            0.020284,           0.0064805,                   0,           0.0092212,           0.0092212,           0.0092212
                 120,            0.022035,           0.0080011,                   0,             0.90298,              0.8658,             0.93757,             0.65197,            0.020302,           0.0062814,                   0,           0.0092146,           0.0092146,           0.0092146
                 121,            0.021888,           0.0079426,                   0,             0.94202,             0.86047,             0.93565,             0.66128,            0.022245,           0.0060742,                   0,            0.009208,            0.009208,            0.009208
                 122,            0.021383,           0.0080753,                   0,             0.95274,             0.81395,             0.91902,             0.63275,            0.020876,           0.0066359,                   0,           0.0092014,           0.0092014,           0.0092014
                 123,            0.020527,           0.0078886,                   0,             0.90746,             0.88372,             0.93322,              0.6604,            0.017871,           0.0059769,                   0,           0.0091948,           0.0091948,           0.0091948
                 124,            0.020887,           0.0080805,                   0,             0.90574,              0.9186,             0.94242,             0.65794,            0.019662,            0.005748,                   0,           0.0091882,           0.0091882,           0.0091882
                 125,             0.02079,           0.0082424,                   0,              0.9271,             0.90698,             0.96474,             0.70968,            0.021898,           0.0054564,                   0,           0.0091816,           0.0091816,           0.0091816
                 126,            0.021036,           0.0078981,                   0,             0.92903,              0.9133,              0.9611,             0.67348,            0.021062,           0.0054505,                   0,            0.009175,            0.009175,            0.009175
                 127,            0.020896,            0.008083,                   0,             0.90639,             0.90078,             0.95603,               0.654,            0.018565,           0.0058022,                   0,           0.0091684,           0.0091684,           0.0091684
                 128,            0.020844,           0.0079709,                   0,             0.91772,             0.90698,             0.93975,             0.69799,            0.019902,            0.005383,                   0,           0.0091618,           0.0091618,           0.0091618
                 129,            0.021263,           0.0081275,                   0,             0.98614,             0.90698,              0.9497,             0.68328,            0.020843,           0.0057364,                   0,           0.0091552,           0.0091552,           0.0091552
                 130,            0.021114,           0.0079511,                   0,             0.97813,             0.86047,             0.94372,             0.67128,            0.020291,           0.0060785,                   0,           0.0091486,           0.0091486,           0.0091486
                 131,            0.019991,           0.0076596,                   0,             0.92458,             0.85535,             0.92555,             0.63658,            0.022074,           0.0067189,                   0,            0.009142,            0.009142,            0.009142
                 132,            0.021099,           0.0079064,                   0,             0.96423,             0.87209,             0.93629,             0.64535,            0.024543,            0.006984,                   0,           0.0091354,           0.0091354,           0.0091354
                 133,              0.0204,           0.0078188,                   0,             0.97585,             0.93985,             0.97202,             0.67921,            0.020774,           0.0057356,                   0,           0.0091288,           0.0091288,           0.0091288
                 134,            0.020754,           0.0078567,                   0,             0.89876,             0.92908,             0.96465,             0.65952,            0.020931,           0.0056751,                   0,           0.0091222,           0.0091222,           0.0091222
                 135,            0.020544,           0.0077459,                   0,             0.95306,             0.88372,             0.96081,             0.67685,            0.019294,           0.0056221,                   0,           0.0091156,           0.0091156,           0.0091156
                 136,            0.020662,           0.0076161,                   0,             0.96076,             0.90698,             0.96434,             0.68672,            0.018857,           0.0058258,                   0,            0.009109,            0.009109,            0.009109
